#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|ACP|32.9546|-116.30338|392.25|Agua Caliente County Park|2014-12-31T00:00:00|
CI|AGA|33.638378|-116.4011|809.0|Agave Hill|1999-11-16T00:00:00|2005-05-11T00:00:00
CI|AGO|34.14647|-118.76699|259.0|Agoura|1995-10-24T00:00:00|
CI|AVC|33.333118|-118.335424|0.0|Avalon Canyon|2015-09-17T12:00:00|
CI|BAC|33.6122|-117.0406|551.0|Bachelor Mountain|1993-12-14T00:00:00|
CI|BAR|32.68005|-116.67215|529.0|Barrett|1932-09-04T00:00:00|
CI|BBR|34.2623|-116.92075|2069.0|Big Bear Solar Observatory|2000-06-14T22:00:00|
CI|BBS|33.92139|-116.98058|785.0|Beaumont Base|2000-09-13T00:00:00|
CI|BC3|33.65515|-115.45366|1137.0|Big Chuckawalla Mtns|1991-05-08T00:00:00|
CI|BCC|33.575081|-117.261192|391.0|Bear Creek Country Club|2000-07-11T22:45:00|2005-08-08T19:00:00
CI|BEL|34.0006|-115.9982|1388.0|Belle Mountain Joshua Tree|2001-03-15T00:00:00|
CI|BFS|34.23883|-117.65853|1312.0|Mt. Baldy Ranger Station|2001-07-10T00:00:00|
CI|BHP|33.99053|-118.36171|81.0|Baldwin Hills|2009-05-20T19:45:00|
CI|BLA|34.069481|-116.388962|1243.0|Blackrock Canyon Campground|2000-04-11T00:00:00|2009-01-06T19:01:00
CI|BLA2|34.06931|-116.38993|1247.0|Black Rock Canyon Campground 2|2009-08-05T18:11:00|
CI|BLC|34.243561|-118.673119|607.0|Black Canyon|1994-02-01T00:00:00|
CI|BOM|33.36465|-115.72963|-54.0|Bombay Beach|2009-02-10T19:10:00|
CI|BOR|33.2682|-116.41716|252.0|Borrego Springs|2000-06-14T00:00:00|
CI|BRE|33.807758|-117.981163|24.0|Barre|2000-02-25T00:00:00|
CI|BTC|33.012131|-115.219872|39.0|Brunts Corner|1999-04-02T00:00:00|2012-08-31T20:07:00
CI|BTL|34.256981|-117.005211|2527.0|Butler Peak|1975-11-18T00:00:00|
CI|CAC|34.13678|-118.12199|230.0|Caltech Athenaeum Cellar|2003-03-07T00:00:00|
CI|CALB|34.14302|-118.62839|276.0|Calabasas|1994-01-10T00:00:00|1997-07-26T00:00:00
CI|CAP|33.388222|-117.194946|285.0|Capra Ranch|2000-04-13T00:00:00|2007-10-25T15:00:00
CI|CBC|34.14011|-118.1275|239.0|Caltech Broad Center|2003-01-28T00:00:00|
