,Magnitude,lat,long,depth (km)
"M 0.4 - 10km E of Anza, CA",0.41,-116.5693333,33.5528333,14.572
"M 2.6 - 2km ESE of Compton, CA",2.58,-118.2006667,33.8886667,14.067
"M 0.7 - 16km N of Indio, CA",0.74,-116.1996667,33.8638333,7.863
"M 0.4 - 9km SW of Idyllwild, CA",0.42,-116.7771667,33.6715,13.438
"M 1.0 - 15km NE of Borrego Springs, CA",1.02,-116.2533333,33.3405,10.642
"M 0.8 - 3km S of Palomar Observatory, CA",0.77,-116.8606667,33.327,8.666
"M 1.4 - 4km NNW of Loma Linda, CA",1.38,-117.2728333,34.0798333,13.897
"M 0.3 - 3km S of Idyllwild, CA",0.33,-116.7175,33.7158333,16.988
"M 0.9 - 4km SE of Ontario, CA",0.89,-117.5941667,34.0293333,5.278
"M 1.2 - 3km N of Beaumont, CA",1.15,-116.9818333,33.9551667,15.384
"M 1.0 - 11km SW of Niland, CA",0.98,-115.6145,33.1825,0.173
"M 0.8 - 8km NW of Borrego Springs, CA",0.78,-116.441,33.3066667,3.426
"M 1.5 - 8km E of Bombay Beach, CA",1.51,-115.646,33.3496667,0.569
"M 0.6 - 7km S of Idyllwild, CA",0.61,-116.7098333,33.6773333,15.227
"M 0.8 - 2km S of Idyllwild, CA",0.81,-116.717,33.7173333,17.358
"M 1.1 - 22km N of Yucca Valley, CA",1.11,-116.439,34.308,8.55
"M 1.0 - 8km NW of Borrego Springs, CA",1.02,-116.4321667,33.308,2.866
"M 1.4 - 14km WNW of Calipatria, CA",1.39,-115.6598333,33.1685,1.523
"M 1.4 - 14km NNW of Westmorland, CA",1.35,-115.6713333,33.1531667,0.074
"M 2.3 - 14km WNW of Calipatria, CA",2.33,-115.6526667,33.1663333,2.313
"M 1.5 - 19km NW of Westmorland, CA",1.54,-115.7451667,33.171,5.064
"M 1.5 - 14km NNW of Westmorland, CA",1.47,-115.6598333,33.159,0.074
"M 0.4 - 10km NW of Westmorland, CA",0.4,-115.6916667,33.1095,1.153
"M 1.5 - 4km SE of Loma Linda, CA",1.51,-117.231,34.016,17.07
"M 0.6 - 9km E of Cabazon, CA",0.55,-116.6881667,33.9065,5.636
"M 0.4 - 7km ESE of Valle Vista, CA",0.36,-116.83,33.7206667,14.411
"M 0.9 - 7km ENE of Anza, CA",0.88,-116.5985,33.5716667,15.007
"M 0.8 - 6km N of Lake Henshaw, CA",0.8,-116.7663333,33.2965,12.144
"M 0.4 - 6km SSW of Hemet, CA",0.42,-116.9873333,33.6943333,12.706
"M 1.3 - 25km ENE of Thermal, CA",1.3,-115.9175,33.7628333,2.169
"M 0.4 - 13km SSE of Anza, CA",0.37,-116.6315,33.4451667,4.601
"M 1.5 - 14km E of Ocotillo, CA",1.54,-115.848,32.7123333,0.023
"M 0.9 - 13km SSE of Anza, CA",0.9,-116.634,33.4436667,4.471
"M 0.7 - 10km SW of Anza, CA",0.71,-116.7576667,33.5001667,8.932
"M 1.1 - 12km NW of Morongo Valley, CA",1.06,-116.6715,34.1311667,11.264
"M 0.9 - 21km ESE of Anza, CA",0.9,-116.4693333,33.4736667,12.098
"M 1.9 - 12km E of Julian, CA",1.88,-116.479,33.0643333,9.12
"M 0.7 - 6km SSW of Niland, CA",0.7,-115.5553333,33.1923333,2.253
"M 0.6 - 11km WNW of Calipatria, CA",0.6,-115.6238333,33.1698333,6.493
"M 0.6 - 11km WSW of Niland, CA",0.55,-115.6283333,33.2031667,12.453
"M 0.9 - 11km SW of Niland, CA",0.9,-115.6146667,33.1801667,4.853
"M 0.8 - 5km ESE of Calimesa, CA",0.82,-117.0006667,33.9746667,12.024
"M 1.3 - 8km S of Idyllwild, CA",1.33,-116.7071667,33.67,15.605
"M 1.4 - 8km SE of Valle Vista, CA",1.41,-116.8238333,33.7051667,16.101
"M 1.2 - 11km SW of Anza, CA",1.2,-116.7586667,33.4916667,8.456
"M 0.3 - 10km WNW of Calipatria, CA",0.3,-115.609,33.1753333,3.383
"M 1.1 - 11km WNW of Calipatria, CA",1.07,-115.6135,33.1756667,1.233
"M 1.4 - 11km SW of Niland, CA",1.37,-115.619,33.1816667,1.723
"M 1.1 - 11km WNW of Calipatria, CA",1.06,-115.6203333,33.1751667,1.673
"M 1.7 - 11km SE of Running Springs, CA",1.66,-117.0141667,34.1428333,3.87
"M 1.3 - 12km WSW of Niland, CA",1.3,-115.6283333,33.1805,1.683
"M 0.5 - 14km WSW of Niland, CA",0.5,-115.6553333,33.1933333,8.623
"M 0.5 - 4km SW of Idyllwild, CA",0.51,-116.7476667,33.7146667,15.997
"M 0.4 - 4km SW of Idyllwild, CA",0.36,-116.7435,33.7121667,16.656
"M 0.5 - 11km WNW of Calipatria, CA",0.5,-115.6133333,33.1771667,0.653
"M 0.3 - 4km WSW of Niland, CA",0.3,-115.5641667,33.2266667,0.113
